,Unnamed: 0.1,Unnamed: 0,ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
10,10,10,1304110,Navi Mumbai,2022-05-16,2022,64,Delhi Capitals,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,N,Delhi Capitals,Runs,17.0,,SN Thakur,"['DA Warner', 'SN Khan', 'MR Marsh', 'Lalit Yadav', 'RR Pant', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']","['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'MA Agarwal', 'JM Sharma', 'Harpreet Brar', 'R Dhawan', 'RD Chahar', 'K Rabada', 'Arshdeep Singh']",GR Sadashiv Iyer,Nitin Menon
11,11,11,1304109,Mumbai,2022-05-15,2022,63,Rajasthan Royals,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Rajasthan Royals,bat,N,Rajasthan Royals,Runs,24.0,,TA Boult,"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'R Parag', 'JDS Neesham', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'OC McCoy']","['Q de Kock', 'KL Rahul', 'A Badoni', 'DJ Hooda', 'KH Pandya', 'MP Stoinis', 'JO Holder', 'PVD Chameera', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']",PG Pathak,Tapan Sharma
12,12,12,1304108,Mumbai,2022-05-15,2022,62,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",Chennai Super Kings,bat,N,Gujarat Titans,Wickets,7.0,,WP Saha,"['RD Gaikwad', 'DP Conway', 'MM Ali', 'N Jagadeesan', 'S Dube', 'MS Dhoni', 'MJ Santner', 'PH Solanki', 'Simarjeet Singh', 'M Pathirana', 'Mukesh Choudhary']","['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']",R Pandit,VK Sharma
13,13,13,1304107,Pune,2022-05-14,2022,61,Kolkata Knight Riders,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bat,N,Kolkata Knight Riders,Runs,54.0,,AD Russell,"['VR Iyer', 'AM Rahane', 'N Rana', 'SS Iyer', 'SW Billings', 'RK Singh', 'AD Russell', 'SP Narine', 'UT Yadav', 'TG Southee', 'CV Varun']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'Shashank Singh', 'M Jansen', 'B Kumar', 'Umran Malik', 'T Natarajan']",AK Chaudhary,KN Ananthapadmanabhan
14,14,14,1304106,Mumbai,2022-05-13,2022,60,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,field,N,Punjab Kings,Runs,54.0,,JM Bairstow,"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'MA Agarwal', 'JM Sharma', 'Harpreet Brar', 'R Dhawan', 'RD Chahar', 'K Rabada', 'Arshdeep Singh']","['V Kohli', 'F du Plessis', 'RM Patidar', 'MK Lomror', 'GJ Maxwell', 'KD Karthik', 'Shahbaz Ahmed', 'HV Patel', 'PWH de Silva', 'Mohammed Siraj', 'JR Hazlewood']",J Madanagopal,N Pandit
15,15,15,1304105,Mumbai,2022-05-12,2022,59,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,Wickets,5.0,,DR Sams,"['RD Gaikwad', 'DP Conway', 'MM Ali', 'RV Uthappa', 'AT Rayudu', 'MS Dhoni', 'S Dube', 'DJ Bravo', 'Simarjeet Singh', 'M Theekshana', 'Mukesh Choudhary']","['Ishan Kishan', 'RG Sharma', 'DR Sams', 'Tilak Varma', 'T Stubbs', 'HR Shokeen', 'TH David', 'Ramandeep Singh', 'JJ Bumrah', 'RP Meredith', 'K Kartikeya']",Chirra Ravikanthreddy,CB Gaffaney
16,16,16,1304104,Navi Mumbai,2022-05-11,2022,58,Rajasthan Royals,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,8.0,,MR Marsh,"['YBK Jaiswal', 'JC Buttler', 'R Ashwin', 'D Padikkal', 'SV Samson', 'R Parag', 'HE van der Dussen', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['KS Bharat', 'DA Warner', 'MR Marsh', 'RR Pant', 'R Powell', 'Lalit Yadav', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'C Sakariya']",NA Patwardhan,Nitin Menon
17,17,17,1304103,Pune,2022-05-10,2022,57,Gujarat Titans,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,bat,N,Gujarat Titans,Runs,62.0,,Shubman Gill,"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']","['Q de Kock', 'KL Rahul', 'DJ Hooda', 'KS Sharma', 'KH Pandya', 'A Badoni', 'MP Stoinis', 'JO Holder', 'Mohsin Khan', 'PVD Chameera', 'Avesh Khan']",KN Ananthapadmanabhan,MA Gough
18,18,18,1304102,Navi Mumbai,2022-05-09,2022,56,Kolkata Knight Riders,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,N,Kolkata Knight Riders,Runs,52.0,,JJ Bumrah,"['VR Iyer', 'AM Rahane', 'N Rana', 'SS Iyer', 'AD Russell', 'RK Singh', 'SP Jackson', 'PJ Cummins', 'SP Narine', 'TG Southee', 'CV Varun']","['RG Sharma', 'Ishan Kishan', 'Tilak Varma', 'Ramandeep Singh', 'TH David', 'KA Pollard', 'DR Sams', 'M Ashwin', 'K Kartikeya', 'JJ Bumrah', 'RP Meredith']",CB Gaffaney,GR Sadashiv Iyer
19,19,19,1304101,Navi Mumbai,2022-05-08,2022,55,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field,N,Chennai Super Kings,Runs,91.0,,DP Conway,"['RD Gaikwad', 'DP Conway', 'S Dube', 'AT Rayudu', 'MS Dhoni', 'MM Ali', 'RV Uthappa', 'DJ Bravo', 'Simarjeet Singh', 'M Theekshana', 'Mukesh Choudhary']","['DA Warner', 'KS Bharat', 'MR Marsh', 'RR Pant', 'R Powell', 'RV Patel', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']",Nitin Menon,R Pandit
20,20,20,1304100,Mumbai,2022-05-08,2022,54,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,N,Royal Challengers Bangalore,Runs,67.0,,PWH de Silva,"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'KD Karthik', 'MK Lomror', 'Shahbaz Ahmed', 'PWH de Silva', 'HV Patel', 'JR Hazlewood', 'Mohammed Siraj']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'J Suchith', 'Shashank Singh', 'Kartik Tyagi', 'B Kumar', 'Umran Malik', 'Fazalhaq Farooqi']",BNJ Oxenford,N Pandit
21,21,21,1304099,Pune,2022-05-07,2022,53,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,field,N,Lucknow Super Giants,Runs,75.0,,Avesh Khan,"['Q de Kock', 'KL Rahul', 'DJ Hooda', 'KH Pandya', 'A Badoni', 'MP Stoinis', 'JO Holder', 'PVD Chameera', 'Avesh Khan', 'Mohsin Khan', 'Ravi Bishnoi']","['B Indrajith', 'AJ Finch', 'SS Iyer', 'N Rana', 'RK Singh', 'AD Russell', 'SP Narine', 'AS Roy', 'Shivam Mavi', 'TG Southee', 'Harshit Rana']",AK Chaudhary,MA Gough
22,22,22,1304098,Mumbai,2022-05-07,2022,52,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Punjab Kings,bat,N,Rajasthan Royals,Wickets,6.0,,YBK Jaiswal,"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'MA Agarwal', 'JM Sharma', 'LS Livingstone', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']","['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']",Chirra Ravikanthreddy,YC Barde
23,23,23,1304097,Mumbai,2022-05-06,2022,51,Mumbai Indians,Gujarat Titans,"Brabourne Stadium, Mumbai",Gujarat Titans,field,N,Mumbai Indians,Runs,5.0,,TH David,"['Ishan Kishan', 'RG Sharma', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'M Ashwin', 'K Kartikeya', 'JJ Bumrah', 'RP Meredith']","['WP Saha', 'Shubman Gill', 'HH Pandya', 'B Sai Sudharsan', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'PJ Sangwan', 'LH Ferguson', 'AS Joseph', 'Mohammed Shami']",J Madanagopal,GR Sadashiv Iyer
24,24,24,1304096,Mumbai,2022-05-05,2022,50,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,field,N,Delhi Capitals,Runs,21.0,,DA Warner,"['Mandeep Singh', 'DA Warner', 'MR Marsh', 'RR Pant', 'R Powell', 'Lalit Yadav', 'RV Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'SA Abbott', 'S Gopal', 'Kartik Tyagi', 'B Kumar', 'Umran Malik']",Navdeep Singh,NA Patwardhan
25,25,25,1304095,Pune,2022-05-04,2022,49,Royal Challengers Bangalore,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field,N,Royal Challengers Bangalore,Runs,13.0,,HV Patel,"['V Kohli', 'F du Plessis', 'GJ Maxwell', 'MK Lomror', 'RM Patidar', 'KD Karthik', 'PWH de Silva', 'Shahbaz Ahmed', 'HV Patel', 'Mohammed Siraj', 'JR Hazlewood']","['RD Gaikwad', 'DP Conway', 'RV Uthappa', 'AT Rayudu', 'MM Ali', 'RA Jadeja', 'MS Dhoni', 'D Pretorius', 'Simarjeet Singh', 'M Theekshana', 'Mukesh Choudhary']",KN Ananthapadmanabhan,MA Gough
26,26,26,1304094,Navi Mumbai,2022-05-03,2022,48,Gujarat Titans,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,bat,N,Punjab Kings,Wickets,8.0,,K Rabada,"['WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'PJ Sangwan', 'LH Ferguson', 'AS Joseph', 'Mohammed Shami']","['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'MA Agarwal', 'JM Sharma', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']",R Pandit,VK Sharma
27,27,27,1304093,Mumbai,2022-05-02,2022,47,Rajasthan Royals,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,7.0,,RK Singh,"['JC Buttler', 'D Padikkal', 'SV Samson', 'KK Nair', 'R Parag', 'SO Hetmyer', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['B Indrajith', 'AJ Finch', 'SS Iyer', 'N Rana', 'RK Singh', 'AS Roy', 'AD Russell', 'SP Narine', 'UT Yadav', 'TG Southee', 'Shivam Mavi']",J Madanagopal,N Pandit
28,28,28,1304092,Pune,2022-05-01,2022,46,Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,field,N,Chennai Super Kings,Runs,13.0,,RD Gaikwad,"['RD Gaikwad', 'DP Conway', 'MS Dhoni', 'RA Jadeja', 'RV Uthappa', 'AT Rayudu', 'Simarjeet Singh', 'MJ Santner', 'D Pretorius', 'Mukesh Choudhary', 'M Theekshana']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'Washington Sundar', 'M Jansen', 'B Kumar', 'T Natarajan', 'Umran Malik']",AK Chaudhary,KN Ananthapadmanabhan
29,29,29,1304091,Mumbai,2022-05-01,2022,45,Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai",Lucknow Super Giants,bat,N,Lucknow Super Giants,Runs,6.0,,Mohsin Khan,"['Q de Kock', 'KL Rahul', 'DJ Hooda', 'MP Stoinis', 'KH Pandya', 'A Badoni', 'JO Holder', 'Mohsin Khan', 'K Gowtham', 'PVD Chameera', 'Ravi Bishnoi']","['PP Shaw', 'DA Warner', 'MR Marsh', 'RR Pant', 'Lalit Yadav', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'Mustafizur Rahman', 'C Sakariya']",Chirra Ravikanthreddy,CB Gaffaney
30,30,30,1304090,Navi Mumbai,2022-04-30,2022,44,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,N,Mumbai Indians,Wickets,5.0,,SA Yadav,"['JC Buttler', 'D Padikkal', 'SV Samson', 'DJ Mitchell', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['RG Sharma', 'Ishan Kishan', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'HR Shokeen', 'K Kartikeya', 'JJ Bumrah', 'RP Meredith']",BNJ Oxenford,YC Barde
31,31,31,1304089,Mumbai,2022-04-30,2022,43,Royal Challengers Bangalore,Gujarat Titans,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,bat,N,Gujarat Titans,Wickets,6.0,,R Tewatia,"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'KD Karthik', 'Shahbaz Ahmed', 'MK Lomror', 'PWH de Silva', 'HV Patel', 'JR Hazlewood', 'Mohammed Siraj']","['WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'PJ Sangwan', 'AS Joseph', 'LH Ferguson', 'Mohammed Shami']",HAS Khalid,VK Sharma
32,32,32,1304088,Pune,2022-04-29,2022,42,Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings,field,N,Lucknow Super Giants,Runs,20.0,,KH Pandya,"['Q de Kock', 'KL Rahul', 'DJ Hooda', 'KH Pandya', 'MP Stoinis', 'A Badoni', 'JO Holder', 'PVD Chameera', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']","['MA Agarwal', 'S Dhawan', 'JM Bairstow', 'PBB Rajapaksa', 'LS Livingstone', 'JM Sharma', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']",MA Gough,UV Gandhe
33,33,33,1304087,Mumbai,2022-04-28,2022,41,Kolkata Knight Riders,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,4.0,,Kuldeep Yadav,"['AJ Finch', 'VR Iyer', 'SS Iyer', 'B Indrajith', 'SP Narine', 'N Rana', 'AD Russell', 'RK Singh', 'UT Yadav', 'TG Southee', 'Harshit Rana']","['PP Shaw', 'DA Warner', 'MR Marsh', 'Lalit Yadav', 'RR Pant', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'Mustafizur Rahman', 'C Sakariya']",AK Chaudhary,PG Pathak
34,34,34,1304086,Mumbai,2022-04-27,2022,40,Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,N,Gujarat Titans,Wickets,5.0,,Umran Malik,"['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'Shashank Singh', 'M Jansen', 'B Kumar', 'T Natarajan', 'Umran Malik']","['WP Saha', 'Shubman Gill', 'HH Pandya', 'DA Miller', 'R Tewatia', 'A Manohar', 'Rashid Khan', 'LH Ferguson', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']",CB Gaffaney,Navdeep Singh
35,35,35,1304085,Pune,2022-04-26,2022,39,Rajasthan Royals,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,field,N,Rajasthan Royals,Runs,29.0,,R Parag,"['JC Buttler', 'D Padikkal', 'R Ashwin', 'SV Samson', 'DJ Mitchell', 'R Parag', 'SO Hetmyer', 'TA Boult', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']","['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'Shahbaz Ahmed', 'SS Prabhudessai', 'KD Karthik', 'PWH de Silva', 'HV Patel', 'Mohammed Siraj', 'JR Hazlewood']",BNJ Oxenford,KN Ananthapadmanabhan
36,36,36,1304084,Mumbai,2022-04-25,2022,38,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,N,Punjab Kings,Runs,11.0,,S Dhawan,"['MA Agarwal', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'JM Bairstow', 'JM Sharma', 'R Dhawan', 'K Rabada', 'RD Chahar', 'Arshdeep Singh', 'Sandeep Sharma']","['RD Gaikwad', 'RV Uthappa', 'MJ Santner', 'S Dube', 'AT Rayudu', 'RA Jadeja', 'MS Dhoni', 'D Pretorius', 'DJ Bravo', 'Mukesh Choudhary', 'M Theekshana']",M Erasmus,Tapan Sharma
37,37,37,1304083,Mumbai,2022-04-24,2022,37,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Lucknow Super Giants,Runs,36.0,,KL Rahul,"['Q de Kock', 'KL Rahul', 'MK Pandey', 'MP Stoinis', 'KH Pandya', 'DJ Hooda', 'A Badoni', 'JO Holder', 'PVD Chameera', 'Ravi Bishnoi', 'Mohsin Khan']","['Ishan Kishan', 'RG Sharma', 'D Brevis', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'DR Sams', 'JD Unadkat', 'HR Shokeen', 'JJ Bumrah', 'RP Meredith']",M Erasmus,HAS Khalid
38,38,38,1304082,Mumbai,2022-04-23,2022,36,Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,9.0,,M Jansen,"['F du Plessis', 'Anuj Rawat', 'V Kohli', 'GJ Maxwell', 'SS Prabhudessai', 'Shahbaz Ahmed', 'KD Karthik', 'HV Patel', 'PWH de Silva', 'JR Hazlewood', 'Mohammed Siraj']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'J Suchith', 'B Kumar', 'M Jansen', 'T Natarajan', 'Umran Malik']",Chirra Ravikanthreddy,J Madanagopal
39,39,39,1304081,Navi Mumbai,2022-04-23,2022,35,Gujarat Titans,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,bat,N,Gujarat Titans,Runs,8.0,,Rashid Khan,"['WP Saha', 'Shubman Gill', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'A Manohar', 'LH Ferguson', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']","['SW Billings', 'SP Narine', 'SS Iyer', 'N Rana', 'RK Singh', 'VR Iyer', 'AD Russell', 'Shivam Mavi', 'UT Yadav', 'TG Southee', 'CV Varun']",KN Ananthapadmanabhan,UV Gandhe
